year,sido,adm_cd,sigungu,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female
2022,대구광역시,22050,북구,439303,218472,220831,33407,41659,65899,51937,67518,77575,59425,29806,14411,1619,48770,320060,70473,0.1500080809828296,0.11822591696391785,0.15369346441977405,0.1765865473261052,0.13527109990143477,0.10433800816293082,0.16042002900048485,0.7285632012528938,0.5026849349993057
2022,대구광역시,22060,수성구,402458,194837,207621,31039,46327,46145,39880,66657,74186,55496,29992,15219,1965,49777,281246,71435,0.11465792703834934,0.09909108528094857,0.1656247359972966,0.18433227815076356,0.1378926496677914,0.11721968503545711,0.17749678227293283,0.6988207465126796,0.515882402635803
2022,대구광역시,22070,달서구,545073,269226,275847,39218,51813,76394,63756,82910,100210,80462,36928,16548,1889,58846,397418,88809,0.1401537041827425,0.11696781898938308,0.15210806625901485,0.1838469342638509,0.14761692470549817,0.10157355069871375,0.16293046986366963,0.7291096788870481,0.5060734984121393
2022,대구광역시,22510,달성군,266123,135333,130790,30542,25172,27747,41518,46075,41037,33355,15315,7414,1094,41337,187211,37575,0.10426381785865935,0.1560105665425386,0.17313422740612425,0.15420313163462007,0.1253367803609609,0.0895187563645382,0.14119410949072422,0.7034754605952886,0.49146447319472575
2022,대구광역시,22520,군위군,21797,11194,10603,672,857,1283,1413,1836,3710,5399,3820,2584,306,1008,11510,9279,0.05886131118961325,0.06482543469284764,0.0842317750149103,0.17020690920768913,0.2476946368766344,0.3078405285130981,0.42570078451163,0.5280543194017525,0.4864430884984172
2022,인천광역시,23010,중구,150670,77750,72920,13543,14181,18368,23994,26456,22488,18157,9802,4406,755,19152,108479,23039,0.12190880732727152,0.1592486891882923,0.17558903564080441,0.14925333510320568,0.12050839583195062,0.09930974978429681,0.15291033384217162,0.7199774341275635,0.4839715935488153
2022,인천광역시,23020,동구,58078,29169,28909,3549,4438,5822,6511,9088,9443,9995,6304,2979,401,5318,38421,14339,0.10024449877750612,0.11210785495368297,0.15647921760391198,0.1625916870415648,0.17209614656152072,0.16674127896966148,0.2468921106098695,0.6615413753917145,0.4977616309101553
2022,인천광역시,23040,연수구,400488,199745,200743,41584,45648,52152,57991,70079,65421,46047,16842,8115,1329,59890,296761,43837,0.13022113022113022,0.14480084297157467,0.17498401949621462,0.1633532090849164,0.11497722778210583,0.06563492539102295,0.10945896006871617,0.7409984818521403,0.5012459799045165
2022,인천광역시,23050,남동구,511392,255604,255788,39571,46238,64552,69034,85275,88093,73165,33091,14944,2319,58702,372172,80518,0.1262280207746699,0.13499233464739377,0.16675075089168387,0.17226120080095114,0.143070286590326,0.09846458294224392,0.15744868906826856,0.7277626556535887,0.5001799011325949
2022,인천광역시,23060,부평구,498254,245816,252438,34334,39473,63750,72615,75365,89421,75752,33461,15729,2195,49905,365922,82427,0.1279467901913482,0.14573892030972155,0.15125819361209342,0.17946870471687132,0.15203490589137267,0.10313013041541061,0.16543168745258444,0.7344085546729179,0.5066452050560557
2022,인천광역시,23070,계양구,288122,142279,145843,17898,23896,39247,37520,42374,56866,45726,16777,8625,1316,27019,217303,43800,0.13621660268913863,0.13022261403155608,0.14706964410909268,0.1973677817035839,0.1587036047229993,0.09273155121788687,0.15201893642276534,0.7542048160154379,0.5061848800161043
