sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_진보당,party_정의당,party_통일한국당,party_우리공화당,party_한국복지당,party_충청의미래당
20220601,9,8회지방선거_기초의원비례,강원도,양구군,양구군,18552,12801,12260,541,4734,7526.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,철원군,철원군,37099,22453,21162,1291,8498,12664.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,청주시상당구,청주시,163058,79603,77235,2368,30478,42321.0,524.0,3912.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,청주시서원구,청주시,165453,80299,78167,2132,30980,42816.0,555.0,3816.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,청주시흥덕구,청주시,223618,98271,95985,2286,39336,51218.0,713.0,4718.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,청주시청원구,청주시,160395,72656,71127,1529,30078,37380.0,426.0,3243.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,단양군,단양군,25692,17421,16752,669,6207,10545.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,영동군,영동군,41123,27148,26173,975,10144,16029.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,보은군,보은군,28963,19543,18572,971,7022,11550.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,옥천군,옥천군,44686,28841,27793,1048,11875,15918.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,음성군,음성군,81419,40614,39372,1242,17212,22160.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,진천군,진천군,71725,34551,33343,1208,15751,17592.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,괴산군,괴산군,34674,23716,22798,918,8547,14251.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,충청북도,증평군,증평군,31366,17040,16485,555,7400,9085.0,0.0,0.0,0.0,0.0,0.0,0.0
