sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_국민의당,party_바른정당,party_정의당,party_새누리당,party_경제애국당,party_국민대통합당,party_늘푸른한국당,party_민중연합당,party_한국국민당,party_홍익당,party_무소속
20170509,1,19대대통령선거,경기도,남양주시,대한민국,524245,397972,396637,1335,165079,86026,92048,25471,26319,584,67,213,73,210,102,139,306
20170509,1,19대대통령선거,경기도,오산시,대한민국,161182,118683,118201,482,52358,21829,27201,7893,8415,117,19,66,36,82,30,35,120
20170509,1,19대대통령선거,경기도,화성시,대한민국,493782,386002,384720,1282,176940,69014,84967,26194,25910,401,58,284,81,267,118,141,345
20170509,1,19대대통령선거,경기도,시흥시,대한민국,322806,239227,238332,895,103732,43248,58119,14846,17127,301,56,208,58,235,79,80,243
20170509,1,19대대통령선거,경기도,군포시,대한민국,228831,186084,185488,596,82551,34784,41883,12884,12595,239,21,150,34,121,37,54,135
20170509,1,19대대통령선거,경기도,하남시,대한민국,176100,138937,138445,492,57298,31793,30999,9680,8135,174,17,68,19,109,24,43,86
20170509,1,19대대통령선거,경기도,파주시,대한민국,340754,256847,255845,1002,107148,55347,54921,16819,20208,399,52,198,82,224,92,96,259
20170509,1,19대대통령선거,경기도,여주시,대한민국,93145,65695,65369,326,20474,21581,14545,3936,4387,90,13,72,25,66,40,50,90
20170509,1,19대대통령선거,경기도,이천시,대한민국,167583,121841,121201,640,44109,33301,26695,7913,8489,145,29,93,35,89,63,69,171
20170509,1,19대대통령선거,경기도,용인시처인구,대한민국,184406,134872,134223,649,50423,33153,32027,8707,9227,152,32,80,44,98,57,59,164
20170509,1,19대대통령선거,경기도,용인시수지구,대한민국,268809,225513,225003,510,95325,50229,47125,18555,13042,375,16,69,20,94,19,45,89
20170509,1,19대대통령선거,경기도,용인시기흥구,대한민국,319811,261414,260768,646,116017,53405,55393,18992,16026,411,13,111,45,141,41,61,112
20170509,1,19대대통령선거,경기도,안성시,대한민국,148171,106490,106019,471,39380,26693,25193,6427,7651,158,36,94,33,137,38,65,114
20170509,1,19대대통령선거,경기도,김포시,대한민국,290415,225075,224372,703,93697,48490,51081,15614,14517,309,41,131,53,152,58,69,160
20170509,1,19대대통령선거,경기도,광주시,대한민국,268162,199221,198507,714,80175,45030,46829,12629,12860,274,36,101,44,181,68,61,219
20170509,1,19대대통령선거,경기도,포천시,대한민국,128917,90620,90075,545,27632,28030,22505,5781,5529,114,29,69,36,108,46,62,134
20170509,1,19대대통령선거,경기도,연천군,대한민국,38909,28675,28450,225,8384,9557,6805,1901,1581,41,10,28,21,21,18,33,50
20170509,1,19대대통령선거,경기도,양평군,대한민국,95097,71056,70669,387,21329,24800,15653,4216,4194,157,14,52,26,31,34,77,86
20170509,1,19대대통령선거,경기도,가평군,대한민국,53480,38897,38588,309,10873,13865,9089,2231,2103,99,25,48,36,45,50,50,74
20170509,1,19대대통령선거,강원도,춘천시,대한민국,229286,175879,175116,763,66874,43494,38684,12402,12758,251,27,104,62,103,60,110,187
20170509,1,19대대통령선거,강원도,원주시,대한민국,273858,204233,203395,838,77495,50750,45776,13797,14406,319,47,157,44,198,82,109,215
20170509,1,19대대통령선거,강원도,강릉시,대한민국,178461,132395,131712,683,41565,44421,26895,9690,8368,195,19,91,43,99,63,113,150
20170509,1,19대대통령선거,강원도,동해시,대한민국,76059,55542,55269,273,17184,19009,11345,3917,3406,95,9,47,24,69,38,38,88
20170509,1,19대대통령선거,강원도,삼척시,대한민국,59080,44097,43798,299,13496,15971,8185,2878,2898,52,13,38,21,41,42,77,86
20170509,1,19대대통령선거,강원도,태백시,대한민국,39001,28101,27952,149,9557,10046,4971,1468,1736,30,8,24,10,28,12,35,27
20170509,1,19대대통령선거,강원도,정선군,대한민국,33408,23859,23707,152,8270,8323,4489,1170,1215,32,15,22,7,35,19,46,64
20170509,1,19대대통령선거,강원도,속초시,대한민국,67471,46985,46776,209,15045,13883,11031,3422,3143,73,9,28,14,23,20,33,52
20170509,1,19대대통령선거,강원도,고성군,대한민국,25637,18692,18521,171,5664,6511,3964,1239,979,23,8,27,5,16,12,26,47
20170509,1,19대대통령선거,강원도,양양군,대한민국,23853,17853,17733,120,5017,6687,3868,1044,954,37,12,22,14,14,18,22,24
20170509,1,19대대통령선거,강원도,인제군,대한민국,27251,20751,20541,210,6574,6009,4759,1665,1311,32,13,23,13,21,28,24,69
20170509,1,19대대통령선거,강원도,홍천군,대한민국,59882,43648,43362,286,13851,13549,10023,2879,2687,60,20,49,17,81,36,47,63
20170509,1,19대대통령선거,강원도,횡성군,대한민국,39885,29447,29281,166,8833,10423,6479,1675,1612,64,8,31,7,37,27,41,44
20170509,1,19대대통령선거,강원도,영월군,대한민국,34905,25925,25784,141,8067,8779,5753,1532,1424,40,8,24,12,34,25,47,39
20170509,1,19대대통령선거,강원도,평창군,대한민국,37478,27444,27284,160,8591,9348,5998,1547,1588,33,9,26,8,22,34,38,42
20170509,1,19대대통령선거,강원도,화천군,대한민국,22164,17083,16891,192,5161,5019,4000,1441,1113,32,8,21,2,14,18,21,41
20170509,1,19대대통령선거,강원도,양구군,대한민국,19610,14848,14686,162,4526,4250,3519,1287,944,16,7,19,8,19,24,27,40
20170509,1,19대대통령선거,강원도,철원군,대한민국,39884,29103,28828,275,8998,8437,7101,2225,1847,42,12,34,10,22,12,16,72
20170509,1,19대대통령선거,충청북도,청주시상당구,대한민국,140080,106316,105849,467,42308,27108,21983,6509,7306,132,27,60,44,95,63,87,127
20170509,1,19대대통령선거,충청북도,청주시서원구,대한민국,174200,134980,134448,532,56521,30471,28912,8459,9454,157,30,73,48,103,56,50,114
20170509,1,19대대통령선거,충청북도,청주시흥덕구,대한민국,202801,153064,152385,679,66281,31023,32756,9951,11601,144,40,74,73,123,60,71,188
20170509,1,19대대통령선거,충청북도,청주시청원구,대한민국,150781,115327,114876,451,50487,24026,24203,7285,8249,114,29,73,34,95,63,67,151
20170509,1,19대대통령선거,충청북도,충주시,대한민국,172800,127426,126785,641,43551,38532,28588,7233,8115,151,33,85,44,89,88,129,147
20170509,1,19대대통령선거,충청북도,제천시,대한민국,113835,84700,84209,491,28517,26977,17768,5085,5249,99,19,76,40,64,74,106,135
20170509,1,19대대통령선거,충청북도,단양군,대한민국,26699,19905,19780,125,5708,7901,4026,978,964,44,10,18,9,11,49,43,19
20170509,1,19대대통령선거,충청북도,영동군,대한민국,43884,32554,32344,210,10432,10958,7017,1726,1873,42,18,35,17,50,29,70,77
20170509,1,19대대통령선거,충청북도,보은군,대한민국,30016,22341,22182,159,7268,7587,4910,1015,1135,38,14,32,14,22,35,65,47
20170509,1,19대대통령선거,충청북도,옥천군,대한민국,44730,33175,32936,239,11181,10431,7465,1552,1905,57,23,53,20,51,52,79,67
20170509,1,19대대통령선거,충청북도,음성군,대한민국,81508,56788,56413,375,20723,15180,13381,2988,3671,76,31,57,27,59,44,72,104
20170509,1,19대대통령선거,충청북도,진천군,대한민국,57571,41255,41031,224,15844,10265,9489,2239,2925,53,12,36,15,31,21,30,71
20170509,1,19대대통령선거,충청북도,괴산군,대한민국,34611,25824,25673,151,7876,9435,5830,1063,1198,29,14,31,19,30,39,55,54
20170509,1,19대대통령선거,충청북도,증평군,대한민국,30172,21786,21648,138,8109,5608,5126,1199,1450,17,8,19,17,17,13,19,46
20170509,1,19대대통령선거,충청남도,천안시서북구,대한민국,285471,212329,211539,790,94202,37293,47891,14613,16591,234,40,125,60,119,89,73,209
20170509,1,19대대통령선거,충청남도,천안시동남구,대한민국,207268,151132,150444,688,59695,34869,34933,9089,11067,189,35,130,57,84,66,82,148
20170509,1,19대대통령선거,충청남도,공주시,대한민국,93453,67018,66618,400,25036,18449,15814,2948,3852,82,24,58,31,77,57,82,108
20170509,1,19대대통령선거,충청남도,보령시,대한민국,87274,62825,62387,438,20674,19453,15428,2819,3546,74,16,68,27,65,51,64,102
20170509,1,19대대통령선거,충청남도,아산시,대한민국,236407,173795,173030,765,73461,36741,38368,10252,13340,203,41,132,54,105,64,85,184
20170509,1,19대대통령선거,충청남도,서산시,대한민국,137217,98859,98375,484,37376,24572,23237,5520,7016,96,25,93,28,137,64,78,133
20170509,1,19대대통령선거,충청남도,태안군,대한민국,55379,38740,38469,271,12881,12666,8940,1626,2093,39,5,31,12,42,39,47,48
20170509,1,19대대통령선거,충청남도,금산군,대한민국,46637,32968,32717,251,11182,9416,8787,1312,1679,39,19,37,15,49,50,45,87
20170509,1,19대대통령선거,충청남도,논산시,대한민국,103557,72434,72037,397,28265,16948,18844,3503,3897,82,21,87,31,117,57,62,123
20170509,1,19대대통령선거,충청남도,계룡시,대한민국,32653,26530,26422,108,9566,6261,6722,2222,1502,34,6,20,6,35,6,13,29
20170509,1,19대대통령선거,충청남도,당진시,대한민국,134586,95417,94984,433,37191,23597,20852,4907,7638,107,24,177,31,221,45,68,126
20170509,1,19대대통령선거,충청남도,부여군,대한민국,61041,43288,43002,286,13492,13761,11022,1881,2382,52,18,33,23,76,66,90,106
20170509,1,19대대통령선거,충청남도,서천군,대한민국,48975,34889,34678,211,12554,9891,8744,1551,1647,37,9,47,10,44,37,43,64
20170509,1,19대대통령선거,충청남도,홍성군,대한민국,82972,59645,59325,320,21021,16682,14251,3133,3845,61,18,50,17,39,57,77,74
20170509,1,19대대통령선거,충청남도,청양군,대한민국,28528,20667,20532,135,6185,7104,5140,826,1080,28,7,22,11,15,24,48,42
20170509,1,19대대통령선거,충청남도,예산군,대한민국,70494,49668,49387,281,13880,18911,11243,2319,2693,58,16,38,16,35,31,68,79
20170509,1,19대대통령선거,전라북도,전주시완산구,대한민국,289452,236383,235656,727,157637,7003,50506,6977,12678,74,40,300,36,128,44,73,160
20170509,1,19대대통령선거,전라북도,전주시덕진구,대한민국,230552,187921,187421,500,125375,5183,40188,5286,10773,54,23,154,32,113,34,43,163
20170509,1,19대대통령선거,전라북도,군산시,대한민국,223599,172330,171825,505,109379,6360,42387,4638,8397,68,28,109,26,147,59,58,169
20170509,1,19대대통령선거,전라북도,익산시,대한민국,246727,192208,191478,730,123422,6470,45737,5324,9644,59,30,136,109,196,51,58,242
20170509,1,19대대통령선거,전라북도,정읍시,대한민국,96162,73678,73291,387,45894,2175,20111,1462,3109,32,17,102,35,116,30,38,170
20170509,1,19대대통령선거,전라북도,남원시,대한민국,70169,55371,55085,286,35539,1939,13854,1098,2193,32,15,44,21,88,44,54,164
20170509,1,19대대통령선거,전라북도,김제시,대한민국,75356,57886,57557,329,35870,2052,15880,1190,2265,22,8,37,21,24,34,37,117
20170509,1,19대대통령선거,전라북도,완주군,대한민국,78249,62470,62230,240,41057,2107,13897,1515,3306,20,16,52,13,67,25,35,120
20170509,1,19대대통령선거,전라북도,진안군,대한민국,22704,18107,18009,98,11918,819,3904,392,806,12,3,12,2,13,22,23,83
20170509,1,19대대통령선거,전라북도,무주군,대한민국,21591,17019,16918,101,10381,1225,3998,434,723,8,4,19,8,23,15,17,63
20170509,1,19대대통령선거,전라북도,장수군,대한민국,20123,16079,15975,104,10714,717,3353,342,688,8,6,14,3,18,21,17,74
20170509,1,19대대통령선거,전라북도,임실군,대한민국,25863,20381,20226,155,12893,771,5009,403,904,6,10,20,11,17,23,32,127
20170509,1,19대대통령선거,전라북도,순창군,대한민국,25319,20126,20008,118,12309,688,5624,324,755,15,9,11,7,114,23,22,107
20170509,1,19대대통령선거,전라북도,고창군,대한민국,50734,39188,38899,289,23877,1215,11182,722,1433,31,20,30,11,95,47,53,183
20170509,1,19대대통령선거,전라북도,부안군,대한민국,49026,36647,36425,222,22482,1507,9837,695,1622,10,11,40,10,27,27,29,128
20170509,1,19대대통령선거,전라남도,목포시,대한민국,187620,145476,144961,515,77896,2584,53303,3013,7529,60,21,93,21,216,47,36,142
20170509,1,19대대통령선거,전라남도,여수시,대한민국,235605,185487,184790,697,117586,4281,50228,4207,7384,48,20,148,26,441,78,60,283
20170509,1,19대대통령선거,전라남도,순천시,대한민국,223756,181451,180784,667,122595,4525,40429,4326,7475,55,33,100,36,879,55,75,201
20170509,1,19대대통령선거,전라남도,나주시,대한민국,89312,71599,71190,409,43967,1448,21011,1484,2686,34,14,50,20,147,63,67,199
20170509,1,19대대통령선거,전라남도,광양시,대한민국,120767,96384,96049,335,63544,4100,20080,3145,4553,48,15,61,22,270,22,38,151
20170509,1,19대대통령선거,전라남도,담양군,대한민국,41434,33020,32826,194,19961,698,10017,597,1212,10,12,25,10,121,30,29,104
20170509,1,19대대통령선거,전라남도,장성군,대한민국,39083,30670,30520,150,17378,851,10167,674,1190,17,13,46,13,47,23,16,85
