sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_기본소득당,party_국가혁명당,party_노동당,party_새누리당,party_신자유민주연합,party_우리공화당,party_진보당,party_통일한국당,party_한류연합당
20220309,1,20대대통령선거,충청남도,서산시,대한민국,148201,108990,107920,1070,48642,54892,2640,69,1264,61.0,19,21,69,111,59,73
20220309,1,20대대통령선거,충청남도,태안군,대한민국,55320,42028,41617,411,16678,23511,873,17,323,18.0,3,14,31,53,53,43
20220309,1,20대대통령선거,충청남도,금산군,대한민국,44799,33699,33364,335,14002,18178,647,26,331,8.0,7,14,23,49,42,37
20220309,1,20대대통령선거,충청남도,논산시,대한민국,100285,73512,72808,704,33822,36203,1601,35,788,17.0,12,22,67,113,81,47
20220309,1,20대대통령선거,충청남도,계룡시,대한민국,34745,27992,27759,233,11891,14718,799,22,243,5.0,4,14,13,32,4,14
20220309,1,20대대통령선거,충청남도,당진시,대한민국,139481,100874,100004,870,46903,49230,2258,35,1157,44.0,14,24,76,152,49,62
20220309,1,20대대통령선거,충청남도,부여군,대한민국,57573,43975,43570,405,16813,25136,878,28,438,19.0,4,17,34,103,57,43
20220309,1,20대대통령선거,충청남도,서천군,대한민국,45997,35136,34811,325,15443,18168,688,19,263,14.0,8,13,26,74,47,48
20220309,1,20대대통령선거,충청남도,홍성군,대한민국,84379,62416,61871,545,25860,33581,1536,28,611,28.0,6,9,38,65,60,49
20220309,1,20대대통령선거,충청남도,청양군,대한민국,27754,21588,21387,201,7688,12932,416,23,223,7.0,6,3,12,33,23,21
20220309,1,20대대통령선거,충청남도,예산군,대한민국,69064,51349,50850,499,16904,32098,1034,29,537,15.0,9,10,47,90,44,33
20220309,1,20대대통령선거,전라북도,전주시완산구,대한민국,285828,231447,229630,1817,188693,35152,3907,98,1371,53.0,21,31,50,112,45,97
20220309,1,20대대통령선거,전라북도,전주시덕진구,대한민국,265049,215995,214404,1591,175845,32731,4006,58,1370,48.0,10,27,40,139,33,97
20220309,1,20대대통령선거,전라북도,군산시,대한민국,225149,177339,176139,1200,144395,27400,2613,80,1241,44.0,13,17,40,129,37,130
20220309,1,20대대통령선거,전라북도,익산시,대한민국,239340,189310,187782,1528,154719,28076,3074,78,1335,45.0,24,32,46,153,47,153
20220309,1,20대대통령선거,전라북도,정읍시,대한민국,93594,75092,74445,647,63487,9085,1040,33,476,24.0,16,17,21,71,41,134
20220309,1,20대대통령선거,전라북도,남원시,대한민국,69190,56509,56059,450,47470,7163,731,40,366,39.0,13,9,18,47,35,128
20220309,1,20대대통령선거,전라북도,김제시,대한민국,72285,58026,57503,523,48952,7164,750,38,398,15.0,5,13,13,33,26,96
20220309,1,20대대통령선거,전라북도,완주군,대한민국,78117,63481,63009,472,52862,8443,1063,24,412,24.0,7,9,18,52,16,79
20220309,1,20대대통령선거,전라북도,진안군,대한민국,22568,18855,18680,175,15637,2572,264,9,93,10.0,2,6,7,13,20,47
20220309,1,20대대통령선거,전라북도,무주군,대한민국,21244,17429,17268,161,13292,3426,313,14,135,7.0,3,3,5,14,13,43
20220309,1,20대대통령선거,전라북도,장수군,대한민국,19371,16230,16078,152,13564,2063,222,13,114,9.0,4,3,3,14,8,61
20220309,1,20대대통령선거,전라북도,임실군,대한민국,24186,20057,19880,177,16930,2416,253,16,123,9.0,1,6,4,13,20,89
20220309,1,20대대통령선거,전라북도,순창군,대한민국,23847,19879,19687,192,16980,2211,230,12,106,14.0,3,4,7,38,20,62
20220309,1,20대대통령선거,전라북도,고창군,대한민국,47655,38707,38331,376,33000,4335,518,15,208,22.0,8,13,10,40,27,135
20220309,1,20대대통령선거,전라북도,부안군,대한민국,45702,36856,36524,332,31037,4572,467,14,227,14.0,5,9,17,28,21,113
20220309,1,20대대통령선거,전라남도,목포시,대한민국,183659,145187,144189,998,125790,14936,2021,69,997,45.0,14,19,20,156,24,98
20220309,1,20대대통령선거,전라남도,여수시,대한민국,237455,189617,188312,1305,162006,21986,2266,82,1369,52.0,24,35,36,183,43,230
20220309,1,20대대통령선거,전라남도,순천시,대한민국,235327,192412,190968,1444,162566,23709,2780,76,1205,60.0,21,50,28,295,46,132
20220309,1,20대대통령선거,전라남도,나주시,대한민국,99117,81076,80431,645,68994,9512,1019,32,492,32.0,17,20,20,132,40,121
20220309,1,20대대통령선거,전라남도,광양시,대한민국,126644,100876,100101,775,81441,15843,1560,46,865,20.0,12,16,22,160,23,93
20220309,1,20대대통령선거,전라남도,담양군,대한민국,41698,34632,34342,290,30076,3435,396,20,204,15.0,5,9,14,46,25,97
20220309,1,20대대통령선거,전라남도,장성군,대한민국,38486,31666,31427,239,27132,3566,386,18,189,6.0,7,4,5,26,19,69
20220309,1,20대대통령선거,전라남도,곡성군,대한민국,25143,20717,20485,232,17472,2380,305,22,132,14.0,5,8,8,35,20,84
20220309,1,20대대통령선거,전라남도,구례군,대한민국,22770,19132,18959,173,16137,2352,232,12,114,10.0,1,7,3,46,5,40
20220309,1,20대대통령선거,전라남도,고흥군,대한민국,57414,47171,46691,480,40466,5120,507,34,263,27.0,11,12,9,60,31,151
